Product Name,Category,Subcategory,Weight (kg),Material Composition,Distance (km),Recyclable,Repairable,Lifespan (yrs),Packaging Used,Eco Score,Carbon Footprint (kg CO2e),Is Eco-Friendly
Apple iPhone 15 Var34,Electronics,Smartphone,0.17,"Aluminum 70%, Silicon 20%, Plastic 10%",4629,Yes,Yes,5,Cardboard,0.59,80.7,No
MacBook Air M2 Var34,Electronics,Laptop,1.237,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4865,Yes,Yes,6,Cardboard,0.65,156.6,No
Samsung Galaxy S24 Var34,Electronics,Smartphone,0.168,"Aluminum 60%, Glass 30%, Plastic 10%",4943,Yes,Yes,6,Cardboard,0.68,68.63,No
HP Pavilion x360 Var34,Electronics,Laptop,1.678,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3997,Yes,Yes,5,Cardboard,0.61,130.06,No
Samsung 322L Refrigerator Var34,Electronics,Refrigerator,54.378,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2040,Yes,Yes,11,Plastic,0.55,304.51,No
Godrej 7 kg Washing Machine Var34,Electronics,Washing Machine,34.492,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1496,Yes,Yes,9,Plastic,0.53,251.33,No
Philips 9W LED Bulb Var34,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1002,Yes,No,6,Paper,0.68,10.06,Yes
Organic Bananas (1kg) Var34,Grocery,Bananas,1.021,Organic 100%,204,Yes,No,2,None,0.91,1.93,Yes
Amul Gold Milk 1L Var34,Grocery,Milk,1.042,"Organic 90%, Plastic 10%",464,No,No,1,Tetrapak,0.57,3.62,No
Khadi Natural Herbal Shampoo Var34,Personal Care,Shampoo,0.507,"Plastic 60%, Organic 40%",308,Yes,No,2,Plastic,0.61,8.29,Yes
Apple iPhone 15 Var35,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4890,Yes,Yes,7,Cardboard,0.62,77.44,No
MacBook Air M2 Var35,Electronics,Laptop,1.221,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4700,Yes,Yes,6,Cardboard,0.65,161.62,No
Samsung Galaxy S24 Var35,Electronics,Smartphone,0.169,"Aluminum 60%, Glass 30%, Plastic 10%",5420,Yes,Yes,5,Cardboard,0.64,73.41,No
HP Pavilion x360 Var35,Electronics,Laptop,1.706,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3927,Yes,Yes,6,Cardboard,0.65,128.94,No
Samsung 322L Refrigerator Var35,Electronics,Refrigerator,55.15,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1947,Yes,Yes,12,Plastic,0.58,302.19,No
Godrej 7 kg Washing Machine Var35,Electronics,Washing Machine,35.699,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1432,Yes,Yes,9,Plastic,0.6,243.88,No
Philips 9W LED Bulb Var35,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1086,Yes,No,5,Paper,0.76,9.91,Yes
Organic Bananas (1kg) Var35,Grocery,Bananas,1.001,Organic 100%,198,Yes,No,2,None,0.92,2.0,Yes
Amul Gold Milk 1L Var35,Grocery,Milk,1.008,"Organic 90%, Plastic 10%",488,No,No,1,Tetrapak,0.57,3.55,No
Khadi Natural Herbal Shampoo Var35,Personal Care,Shampoo,0.504,"Plastic 60%, Organic 40%",291,Yes,No,3,Plastic,0.69,8.78,Yes
Apple iPhone 15 Var36,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5498,Yes,Yes,5,Cardboard,0.65,77.53,No
MacBook Air M2 Var36,Electronics,Laptop,1.242,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5466,Yes,Yes,7,Cardboard,0.61,161.29,No
Samsung Galaxy S24 Var36,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",5404,Yes,Yes,5,Cardboard,0.62,67.75,No
HP Pavilion x360 Var36,Electronics,Laptop,1.65,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4120,Yes,Yes,7,Cardboard,0.6,135.23,No
Samsung 322L Refrigerator Var36,Electronics,Refrigerator,56.204,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2004,Yes,Yes,13,Plastic,0.59,301.6,No
Godrej 7 kg Washing Machine Var36,Electronics,Washing Machine,35.726,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1543,Yes,Yes,11,Plastic,0.6,249.72,No
Philips 9W LED Bulb Var36,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1090,Yes,No,5,Paper,0.74,10.42,Yes
Organic Bananas (1kg) Var36,Grocery,Bananas,1.004,Organic 100%,189,Yes,No,1,None,0.85,2.08,Yes
Amul Gold Milk 1L Var36,Grocery,Milk,1.041,"Organic 90%, Plastic 10%",452,No,No,1,Tetrapak,0.59,3.61,No
Khadi Natural Herbal Shampoo Var36,Personal Care,Shampoo,0.512,"Plastic 60%, Organic 40%",272,Yes,No,1,Plastic,0.7,8.5,Yes
Apple iPhone 15 Var37,Electronics,Smartphone,0.171,"Aluminum 70%, Silicon 20%, Plastic 10%",5068,Yes,Yes,7,Cardboard,0.58,82.05,No
MacBook Air M2 Var37,Electronics,Laptop,1.211,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4590,Yes,Yes,6,Cardboard,0.65,154.34,No
Samsung Galaxy S24 Var37,Electronics,Smartphone,0.172,"Aluminum 60%, Glass 30%, Plastic 10%",5473,Yes,Yes,6,Cardboard,0.61,69.62,No
HP Pavilion x360 Var37,Electronics,Laptop,1.741,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4280,Yes,Yes,5,Cardboard,0.59,131.76,No
Samsung 322L Refrigerator Var37,Electronics,Refrigerator,55.083,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2003,Yes,Yes,13,Plastic,0.55,305.92,No
Godrej 7 kg Washing Machine Var37,Electronics,Washing Machine,35.514,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1606,Yes,Yes,10,Plastic,0.58,258.26,No
Philips 9W LED Bulb Var37,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",957,Yes,No,4,Paper,0.76,9.99,Yes
Organic Bananas (1kg) Var37,Grocery,Bananas,0.996,Organic 100%,211,Yes,No,1,None,0.92,1.95,Yes
Amul Gold Milk 1L Var37,Grocery,Milk,1.017,"Organic 90%, Plastic 10%",457,No,No,1,Tetrapak,0.61,3.65,Yes
Khadi Natural Herbal Shampoo Var37,Personal Care,Shampoo,0.499,"Plastic 60%, Organic 40%",300,Yes,No,3,Plastic,0.61,8.54,Yes
Apple iPhone 15 Var38,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4980,Yes,Yes,5,Cardboard,0.59,76.99,No
MacBook Air M2 Var38,Electronics,Laptop,1.215,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4877,Yes,Yes,8,Cardboard,0.65,157.38,No
Samsung Galaxy S24 Var38,Electronics,Smartphone,0.163,"Aluminum 60%, Glass 30%, Plastic 10%",4547,Yes,Yes,7,Cardboard,0.66,69.04,No
HP Pavilion x360 Var38,Electronics,Laptop,1.673,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4268,Yes,Yes,6,Cardboard,0.61,129.61,No
Samsung 322L Refrigerator Var38,Electronics,Refrigerator,55.684,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1959,Yes,Yes,12,Plastic,0.57,294.56,No
Godrej 7 kg Washing Machine Var38,Electronics,Washing Machine,35.238,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1416,Yes,Yes,9,Plastic,0.55,258.88,No
Philips 9W LED Bulb Var38,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1009,Yes,No,4,Paper,0.67,9.63,Yes
Organic Bananas (1kg) Var38,Grocery,Bananas,0.997,Organic 100%,216,Yes,No,1,None,0.94,2.09,Yes
Amul Gold Milk 1L Var38,Grocery,Milk,1.04,"Organic 90%, Plastic 10%",542,No,No,1,Tetrapak,0.66,3.66,Yes
Khadi Natural Herbal Shampoo Var38,Personal Care,Shampoo,0.498,"Plastic 60%, Organic 40%",307,Yes,No,2,Plastic,0.62,8.77,Yes
Apple iPhone 15 Var39,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",4763,Yes,Yes,5,Cardboard,0.65,77.89,No
MacBook Air M2 Var39,Electronics,Laptop,1.27,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4618,Yes,Yes,6,Cardboard,0.63,152.4,No
Samsung Galaxy S24 Var39,Electronics,Smartphone,0.17,"Aluminum 60%, Glass 30%, Plastic 10%",5184,Yes,Yes,7,Cardboard,0.66,69.06,No
HP Pavilion x360 Var39,Electronics,Laptop,1.736,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4099,Yes,Yes,6,Cardboard,0.63,128.73,No
Samsung 322L Refrigerator Var39,Electronics,Refrigerator,55.051,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2184,Yes,Yes,11,Plastic,0.63,297.23,No
Godrej 7 kg Washing Machine Var39,Electronics,Washing Machine,35.184,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1387,Yes,Yes,10,Plastic,0.58,259.67,No
Philips 9W LED Bulb Var39,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1018,Yes,No,4,Paper,0.75,10.14,Yes
Organic Bananas (1kg) Var39,Grocery,Bananas,0.991,Organic 100%,215,Yes,No,1,None,0.93,2.04,Yes
Amul Gold Milk 1L Var39,Grocery,Milk,1.025,"Organic 90%, Plastic 10%",510,No,No,2,Tetrapak,0.6,3.4,No
Khadi Natural Herbal Shampoo Var39,Personal Care,Shampoo,0.49,"Plastic 60%, Organic 40%",312,Yes,No,3,Plastic,0.61,8.75,Yes
Apple iPhone 15 Var40,Electronics,Smartphone,0.179,"Aluminum 70%, Silicon 20%, Plastic 10%",5086,Yes,Yes,6,Cardboard,0.6,78.73,No
MacBook Air M2 Var40,Electronics,Laptop,1.273,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4933,Yes,Yes,8,Cardboard,0.61,157.27,No
Samsung Galaxy S24 Var40,Electronics,Smartphone,0.169,"Aluminum 60%, Glass 30%, Plastic 10%",5434,Yes,Yes,5,Cardboard,0.64,67.36,No
HP Pavilion x360 Var40,Electronics,Laptop,1.678,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4066,Yes,Yes,6,Cardboard,0.58,136.11,No
Samsung 322L Refrigerator Var40,Electronics,Refrigerator,54.57,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2139,Yes,Yes,13,Plastic,0.56,290.29,No
Godrej 7 kg Washing Machine Var40,Electronics,Washing Machine,34.733,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1639,Yes,Yes,11,Plastic,0.6,244.0,No
Philips 9W LED Bulb Var40,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",950,Yes,No,4,Paper,0.76,9.54,Yes
Organic Bananas (1kg) Var40,Grocery,Bananas,0.999,Organic 100%,214,Yes,No,1,None,0.92,1.98,Yes
Amul Gold Milk 1L Var40,Grocery,Milk,1.035,"Organic 90%, Plastic 10%",525,No,No,1,Tetrapak,0.6,3.39,No
Khadi Natural Herbal Shampoo Var40,Personal Care,Shampoo,0.494,"Plastic 60%, Organic 40%",277,Yes,No,2,Plastic,0.69,8.24,Yes
Apple iPhone 15 Var41,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",5383,Yes,Yes,5,Cardboard,0.64,77.85,No
MacBook Air M2 Var41,Electronics,Laptop,1.266,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5121,Yes,Yes,6,Cardboard,0.67,162.02,No
Samsung Galaxy S24 Var41,Electronics,Smartphone,0.168,"Aluminum 60%, Glass 30%, Plastic 10%",4748,Yes,Yes,5,Cardboard,0.67,66.9,No
HP Pavilion x360 Var41,Electronics,Laptop,1.719,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4297,Yes,Yes,7,Cardboard,0.66,131.42,No
Samsung 322L Refrigerator Var41,Electronics,Refrigerator,55.797,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2174,Yes,Yes,12,Plastic,0.63,291.71,No
Godrej 7 kg Washing Machine Var41,Electronics,Washing Machine,34.644,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1490,Yes,Yes,10,Plastic,0.61,255.8,No
Philips 9W LED Bulb Var41,Electronics,LED Bulb,0.08,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1055,Yes,No,4,Paper,0.74,10.31,Yes
Organic Bananas (1kg) Var41,Grocery,Bananas,1.005,Organic 100%,186,Yes,No,2,None,0.92,2.09,Yes
Amul Gold Milk 1L Var41,Grocery,Milk,1.021,"Organic 90%, Plastic 10%",472,No,No,1,Tetrapak,0.57,3.55,No
Khadi Natural Herbal Shampoo Var41,Personal Care,Shampoo,0.496,"Plastic 60%, Organic 40%",272,Yes,No,3,Plastic,0.66,8.78,Yes
Apple iPhone 15 Var42,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",4551,Yes,Yes,7,Cardboard,0.63,77.74,No
MacBook Air M2 Var42,Electronics,Laptop,1.219,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5088,Yes,Yes,8,Cardboard,0.62,156.76,No
Samsung Galaxy S24 Var42,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4811,Yes,Yes,5,Cardboard,0.67,70.0,No
HP Pavilion x360 Var42,Electronics,Laptop,1.671,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4243,Yes,Yes,7,Cardboard,0.58,134.79,No
Samsung 322L Refrigerator Var42,Electronics,Refrigerator,56.218,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2025,Yes,Yes,11,Plastic,0.54,297.29,No
Godrej 7 kg Washing Machine Var42,Electronics,Washing Machine,34.266,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1364,Yes,Yes,10,Plastic,0.58,251.8,No
Philips 9W LED Bulb Var42,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",920,Yes,No,6,Paper,0.72,9.93,Yes
Organic Bananas (1kg) Var42,Grocery,Bananas,1.017,Organic 100%,201,Yes,No,1,None,0.86,2.03,Yes
Amul Gold Milk 1L Var42,Grocery,Milk,1.024,"Organic 90%, Plastic 10%",480,No,No,1,Tetrapak,0.63,3.35,Yes
Khadi Natural Herbal Shampoo Var42,Personal Care,Shampoo,0.491,"Plastic 60%, Organic 40%",324,Yes,No,2,Plastic,0.63,8.8,Yes
Apple iPhone 15 Var43,Electronics,Smartphone,0.17,"Aluminum 70%, Silicon 20%, Plastic 10%",5054,Yes,Yes,6,Cardboard,0.66,83.64,No
MacBook Air M2 Var43,Electronics,Laptop,1.247,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5441,Yes,Yes,8,Cardboard,0.63,162.71,No
Samsung Galaxy S24 Var43,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4946,Yes,Yes,5,Cardboard,0.67,68.08,No
HP Pavilion x360 Var43,Electronics,Laptop,1.658,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3930,Yes,Yes,5,Cardboard,0.65,129.91,No
Samsung 322L Refrigerator Var43,Electronics,Refrigerator,54.111,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1857,Yes,Yes,13,Plastic,0.62,301.4,No
Godrej 7 kg Washing Machine Var43,Electronics,Washing Machine,34.428,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1359,Yes,Yes,9,Plastic,0.56,243.73,No
Philips 9W LED Bulb Var43,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1012,Yes,No,5,Paper,0.69,10.29,Yes
Organic Bananas (1kg) Var43,Grocery,Bananas,0.97,Organic 100%,180,Yes,No,1,None,0.88,1.96,Yes
Amul Gold Milk 1L Var43,Grocery,Milk,1.057,"Organic 90%, Plastic 10%",502,No,No,1,Tetrapak,0.63,3.54,Yes
Khadi Natural Herbal Shampoo Var43,Personal Care,Shampoo,0.513,"Plastic 60%, Organic 40%",323,Yes,No,3,Plastic,0.7,8.76,Yes
Apple iPhone 15 Var44,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",4728,Yes,Yes,7,Cardboard,0.61,81.32,No
MacBook Air M2 Var44,Electronics,Laptop,1.257,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4835,Yes,Yes,6,Cardboard,0.7,152.62,No
Samsung Galaxy S24 Var44,Electronics,Smartphone,0.164,"Aluminum 60%, Glass 30%, Plastic 10%",4933,Yes,Yes,6,Cardboard,0.65,71.95,No
HP Pavilion x360 Var44,Electronics,Laptop,1.682,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3891,Yes,Yes,6,Cardboard,0.63,131.92,No
Samsung 322L Refrigerator Var44,Electronics,Refrigerator,55.75,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1961,Yes,Yes,13,Plastic,0.54,308.58,No
Godrej 7 kg Washing Machine Var44,Electronics,Washing Machine,34.177,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1461,Yes,Yes,9,Plastic,0.54,246.36,No
Philips 9W LED Bulb Var44,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",900,Yes,No,4,Paper,0.76,9.99,Yes
Organic Bananas (1kg) Var44,Grocery,Bananas,0.999,Organic 100%,216,Yes,No,1,None,0.88,1.95,Yes
Amul Gold Milk 1L Var44,Grocery,Milk,1.057,"Organic 90%, Plastic 10%",502,No,No,1,Tetrapak,0.64,3.61,Yes
Khadi Natural Herbal Shampoo Var44,Personal Care,Shampoo,0.485,"Plastic 60%, Organic 40%",295,Yes,No,2,Plastic,0.64,8.89,Yes
Apple iPhone 15 Var45,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5001,Yes,Yes,5,Cardboard,0.6,78.05,No
MacBook Air M2 Var45,Electronics,Laptop,1.239,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4617,Yes,Yes,6,Cardboard,0.63,166.84,No
Samsung Galaxy S24 Var45,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",5002,Yes,Yes,5,Cardboard,0.68,71.21,No
HP Pavilion x360 Var45,Electronics,Laptop,1.661,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4306,Yes,Yes,6,Cardboard,0.65,128.98,No
Samsung 322L Refrigerator Var45,Electronics,Refrigerator,55.279,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1878,Yes,Yes,13,Plastic,0.62,291.21,No
Godrej 7 kg Washing Machine Var45,Electronics,Washing Machine,35.899,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1627,Yes,Yes,9,Plastic,0.55,246.08,No
Philips 9W LED Bulb Var45,Electronics,LED Bulb,0.078,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1016,Yes,No,4,Paper,0.72,9.62,Yes
Organic Bananas (1kg) Var45,Grocery,Bananas,0.993,Organic 100%,211,Yes,No,1,None,0.91,2.09,Yes
Amul Gold Milk 1L Var45,Grocery,Milk,1.011,"Organic 90%, Plastic 10%",475,No,No,1,Tetrapak,0.57,3.34,No
Khadi Natural Herbal Shampoo Var45,Personal Care,Shampoo,0.505,"Plastic 60%, Organic 40%",307,Yes,No,3,Plastic,0.66,8.64,Yes
Apple iPhone 15 Var46,Electronics,Smartphone,0.178,"Aluminum 70%, Silicon 20%, Plastic 10%",4709,Yes,Yes,5,Cardboard,0.63,79.61,No
MacBook Air M2 Var46,Electronics,Laptop,1.276,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4961,Yes,Yes,7,Cardboard,0.65,160.16,No
Samsung Galaxy S24 Var46,Electronics,Smartphone,0.166,"Aluminum 60%, Glass 30%, Plastic 10%",4529,Yes,Yes,5,Cardboard,0.63,70.47,No
HP Pavilion x360 Var46,Electronics,Laptop,1.655,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3985,Yes,Yes,7,Cardboard,0.61,136.5,No
Samsung 322L Refrigerator Var46,Electronics,Refrigerator,55.166,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1830,Yes,Yes,13,Plastic,0.6,297.16,No
Godrej 7 kg Washing Machine Var46,Electronics,Washing Machine,35.233,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1372,Yes,Yes,11,Plastic,0.57,237.71,No
Philips 9W LED Bulb Var46,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",1008,Yes,No,4,Paper,0.71,9.82,Yes
Organic Bananas (1kg) Var46,Grocery,Bananas,0.97,Organic 100%,198,Yes,No,1,None,0.93,2.04,Yes
Amul Gold Milk 1L Var46,Grocery,Milk,1.049,"Organic 90%, Plastic 10%",460,No,No,1,Tetrapak,0.57,3.48,No
Khadi Natural Herbal Shampoo Var46,Personal Care,Shampoo,0.509,"Plastic 60%, Organic 40%",285,Yes,No,3,Plastic,0.66,8.81,Yes
Apple iPhone 15 Var47,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",4829,Yes,Yes,7,Cardboard,0.62,82.37,No
MacBook Air M2 Var47,Electronics,Laptop,1.208,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",4913,Yes,Yes,6,Cardboard,0.68,158.45,No
Samsung Galaxy S24 Var47,Electronics,Smartphone,0.165,"Aluminum 60%, Glass 30%, Plastic 10%",5092,Yes,Yes,7,Cardboard,0.65,73.12,No
HP Pavilion x360 Var47,Electronics,Laptop,1.743,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4051,Yes,Yes,7,Cardboard,0.62,136.91,No
Samsung 322L Refrigerator Var47,Electronics,Refrigerator,53.637,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2009,Yes,Yes,13,Plastic,0.59,292.67,No
Godrej 7 kg Washing Machine Var47,Electronics,Washing Machine,34.722,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1459,Yes,Yes,10,Plastic,0.58,245.02,No
Philips 9W LED Bulb Var47,Electronics,LED Bulb,0.079,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",996,Yes,No,6,Paper,0.73,10.15,Yes
Organic Bananas (1kg) Var47,Grocery,Bananas,1.002,Organic 100%,189,Yes,No,1,None,0.89,1.93,Yes
Amul Gold Milk 1L Var47,Grocery,Milk,1.038,"Organic 90%, Plastic 10%",464,No,No,1,Tetrapak,0.58,3.56,No
Khadi Natural Herbal Shampoo Var47,Personal Care,Shampoo,0.507,"Plastic 60%, Organic 40%",313,Yes,No,2,Plastic,0.7,8.39,Yes
Apple iPhone 15 Var48,Electronics,Smartphone,0.177,"Aluminum 70%, Silicon 20%, Plastic 10%",5097,Yes,Yes,5,Cardboard,0.61,79.41,No
MacBook Air M2 Var48,Electronics,Laptop,1.225,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5169,Yes,Yes,6,Cardboard,0.64,162.63,No
Samsung Galaxy S24 Var48,Electronics,Smartphone,0.171,"Aluminum 60%, Glass 30%, Plastic 10%",5394,Yes,Yes,7,Cardboard,0.59,70.4,No
HP Pavilion x360 Var48,Electronics,Laptop,1.677,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4024,Yes,Yes,6,Cardboard,0.61,135.1,No
Samsung 322L Refrigerator Var48,Electronics,Refrigerator,54.425,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2022,Yes,Yes,11,Plastic,0.61,300.97,No
Godrej 7 kg Washing Machine Var48,Electronics,Washing Machine,35.152,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1525,Yes,Yes,9,Plastic,0.62,257.13,No
Philips 9W LED Bulb Var48,Electronics,LED Bulb,0.082,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",923,Yes,No,5,Paper,0.77,10.17,Yes
Organic Bananas (1kg) Var48,Grocery,Bananas,1.009,Organic 100%,186,Yes,No,2,None,0.93,1.98,Yes
Amul Gold Milk 1L Var48,Grocery,Milk,1.017,"Organic 90%, Plastic 10%",521,No,No,1,Tetrapak,0.64,3.65,Yes
Khadi Natural Herbal Shampoo Var48,Personal Care,Shampoo,0.504,"Plastic 60%, Organic 40%",289,Yes,No,1,Plastic,0.69,8.25,Yes
Apple iPhone 15 Var49,Electronics,Smartphone,0.172,"Aluminum 70%, Silicon 20%, Plastic 10%",4676,Yes,Yes,7,Cardboard,0.66,79.84,No
MacBook Air M2 Var49,Electronics,Laptop,1.254,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5219,Yes,Yes,6,Cardboard,0.67,163.16,No
Samsung Galaxy S24 Var49,Electronics,Smartphone,0.169,"Aluminum 60%, Glass 30%, Plastic 10%",4970,Yes,Yes,6,Cardboard,0.68,67.32,No
HP Pavilion x360 Var49,Electronics,Laptop,1.651,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",4015,Yes,Yes,7,Cardboard,0.6,135.54,No
Samsung 322L Refrigerator Var49,Electronics,Refrigerator,55.255,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",2104,Yes,Yes,12,Plastic,0.54,301.07,No
Godrej 7 kg Washing Machine Var49,Electronics,Washing Machine,35.872,"Steel 40%, Plastic 35%, Copper 15%, Drum Metal 10%",1423,Yes,Yes,10,Plastic,0.61,251.41,No
Philips 9W LED Bulb Var49,Electronics,LED Bulb,0.081,"Glass 50%, Plastic 30%, Copper 10%, Steel 10%",925,Yes,No,6,Paper,0.72,10.19,Yes
Organic Bananas (1kg) Var49,Grocery,Bananas,0.982,Organic 100%,204,Yes,No,1,None,0.91,1.97,Yes
Amul Gold Milk 1L Var49,Grocery,Milk,1.037,"Organic 90%, Plastic 10%",533,No,No,2,Tetrapak,0.57,3.34,No
Khadi Natural Herbal Shampoo Var49,Personal Care,Shampoo,0.489,"Plastic 60%, Organic 40%",278,Yes,No,2,Plastic,0.62,8.64,Yes
Apple iPhone 15 Var50,Electronics,Smartphone,0.173,"Aluminum 70%, Silicon 20%, Plastic 10%",4601,Yes,Yes,7,Cardboard,0.64,83.07,No
MacBook Air M2 Var50,Electronics,Laptop,1.211,"Aluminum 65%, Silicon 20%, Plastic 10%, Steel 5%",5239,Yes,Yes,6,Cardboard,0.65,155.56,No
Samsung Galaxy S24 Var50,Electronics,Smartphone,0.173,"Aluminum 60%, Glass 30%, Plastic 10%",5049,Yes,Yes,7,Cardboard,0.69,67.44,No
HP Pavilion x360 Var50,Electronics,Laptop,1.729,"Aluminum 50%, Plastic 30%, Silicon 15%, Copper 5%",3658,Yes,Yes,7,Cardboard,0.64,135.73,No
Samsung 322L Refrigerator Var50,Electronics,Refrigerator,54.311,"Steel 50%, Plastic 30%, Copper 10%, Insulation Foam 10%",1946,Yes,Yes,13,Plastic,0.6,291.8,No
